sra_num,sra_name,latitude,longitude
1,Central San Diego,32.72264434,-117.141073
2,Peninsula,32.74227428,-117.2160349
3,Coronado,32.65731706,-117.1430615
4,National City,32.66584717,-117.099737
5,Southeastern San Diego,32.68570507,-117.0386208
6,Mid-City,32.75213963,-117.087502
10,Kearny Mesa,32.8048382,-117.1687592
11,Coastal,32.8131305,-117.2431488
12,University,32.87740412,-117.2218847
13,Del Mar-Mira Mesa,32.93495784,-117.1850033
14,North San Diego,33.00406149,-117.0995189
15,Poway,32.98671482,-117.0264943
16,Miramar,32.86692831,-117.1179909
17,Elliott-Navajo,32.8120634,-117.085888
20,Sweetwater,32.63973717,-116.9901344
21,Chula Vista,32.62238571,-117.0778275
22,South Bay,32.56756334,-117.0193299
30,Jamul,32.67709583,-116.8104591
31,Spring Valley,32.7359736,-116.9724729
32,Lemon Grove,32.73044168,-117.0326777
33,La Mesa,32.77049551,-117.0170908
34,El Cajon,32.79487796,-116.9435449
35,Santee,32.85192539,-116.9886571
36,Lakeside,32.90466717,-116.8831335
37,Harbison Crest,32.83663947,-116.8479375
38,Alpine,32.83752363,-116.7584429
39,Ramona,33.031046,-116.8483453
40,San Dieguito,33.0452314,-117.2142139
41,Carlsbad,33.13308283,-117.2844956
42,Oceanside,33.23421467,-117.3042324
43,Pendleton,33.36152833,-117.4143427
50,Escondido,33.12693625,-117.0356073
51,San Marcos,33.12831591,-117.2042458
52,Vista,33.20846218,-117.2071317
53,Valley Center,33.23956762,-116.9935948
54,Pauma,33.37367849,-117.0721838
55,Fallbrook,33.34252162,-117.2015775
60,Palomar-Julian,33.24151985,-116.7030782
61,Laguna-Pine Valley,32.89819939,-116.6147646
62,Mountain Empire,32.70182395,-116.4409508
63,Anza-Borrego Springs,33.11451372,-116.289908
